ID,Article Title,Fulltext url,Article Count
0131271cb7e54ed48bcd32ec64098fd9,Applying Pareto distribution theory to electrolytic powder production,//www.sciencedirect.com/science/article/pii/S1388248111000026,125
01318e920333406495794f62c6a099ee,QoS-Aware Data Collection in Wireless Sensor Networks,//doi.org/10.1155/2015/769083,63
01326fb878734aecb2d2895e42207913,A Versatile Star PEG Grafting Method for the Generation of Nonfouling and Nonthrombogenic Surfaces,//dx.doi.org/10.1155/2013/962376,331
0132795936ce494f8c29827691b6b5cb,Measuring Physical Inactivity: Do Current Measures Provide an Accurate View of “Sedentary” Video Game Time?,//dx.doi.org/10.1155/2014/287013,17
01336b8e1da744afa136a00687087d19,An exploration of the influence of diagonal dissociation and moderate changes in speed on locomotor parameters in trotting horses,//peerj.com/articles/2190.pdf,146
01338553a3f0479eabd8e21a6e8ef661,Nuclear Forensics using Gamma-ray Spectroscopy,//dx.doi.org/10.1051/epjconf/201612304001,324
01338bcfebc94ca6b409cf3ebe8ec5d4,A Review of Secure Routing Approaches for Current and Next-Generation Wireless Multimedia Sensor Networks,//doi.org/10.1155/2015/524038,63
0133e8d2e0b84adba09327b8a559bc59,"Press, Opinion and Music Theatre in Madrid, 1780-1791",//147.96.1.34/index.php/CMIB/article/view/58562,5
013445af347d4ca8b4e4fead503b8258,Actinomyces meyeri Popliteal Cyst Infection and Review of the Literature,//dx.doi.org/10.1155/2017/9704790,15
01348772cb62423f9eea0da5db62d59c,Some Properties of Solutions of a Functional-Differential Equation of Second Order with Delay,//dx.doi.org/10.1155/2014/878395,197
0134ba2277294bf4b0876c3103392d95,Crystal structure and elasticity of Al-bearing phase H under high pressure,//dx.doi.org/10.1063/1.5030375,143
0134c3ccbbfa40cfa3f1d76e901afb89,Introducción al Derecho Administrativo alemán,//revistas.usantotomas.edu.co/index.php/iusta/article/view/3046,4
0134f17794064e96a0cd60cdd5b7b5db,Table of Contents,//bjr.sbpjor.org.br/bjr/article/view/1112,8
01353422d3984dc2b5d8eb1002452ab7,"Leukemia Study in Sulaymaniyah Province, Kurdistan, Iraq",//www.cmj.org/article.asp?issn=0366-6999;year=2016;volume=129;issue=2;spage=244;epage=245;aulast=Karim,48
0135a35ca7304700a7cfa1c3249767f6,Sciatica from a Foraminal Lumbar Root Schwannoma: Case Report and Review of Literature,//dx.doi.org/10.1155/2012/142143,23
0136580ea6184cd9aa995fa440d0d068,Guantánamo Bay: A Reflection On The Legal Status And Rights Of ‘Unlawful Enemy Combatants’,//www.utrechtlawreview.org/articles/10.18352/ulr.2/,11
